strain,chemical,concentration,experiment,replicate,auc,max_signal,min_signal,time_to_peak,initial_slope,final_signal,auc_zexp,max_signal_zexp,min_signal_zexp,time_to_peak_zexp,initial_slope_zexp,final_signal_zexp,auc_zstrain_exp,max_signal_zstrain_exp,min_signal_zstrain_exp,time_to_peak_zstrain_exp,initial_slope_zstrain_exp,final_signal_zstrain_exp
BL011,Metaldehyde,0.5,2.0,4.0,13950.0,46.0,2.0,180.0,-0.4,3.0,-0.423766054457481,-0.7574358855948706,-0.38450958320762085,-0.2886333891511362,-0.650245781259912,-0.25359166615610923,-0.554905445753072,-0.5588162699433661,-0.5001732128294877,-0.24167018128599263,-0.43481660982882486,-0.36819765200998916
BL011,Metaldehyde,0.05,2.0,1.0,5272.5,24.0,0.0,160.0,-1.0,3.0,-0.4239595899764054,-0.7578766917593832,-0.38486958220845086,-0.3348707767335997,-0.6513807936454269,-0.25359166615610923,-0.5565063625909616,-0.560443419810296,-0.5032138564901447,-0.3008849270834793,-0.4418976728677454,-0.36819765200998916
BL011,Metaldehyde,0.05,2.0,2.0,5957.5,30.0,0.0,160.0,0.0,1.0,-0.42394431232380236,-0.7577564718963343,-0.38486958220845086,-0.3348707767335997,-0.6494891063362355,-0.25364753989726463,-0.5563799865570862,-0.5599996516647696,-0.5032138564901447,-0.3008849270834793,-0.43009590113621116,-0.3697086972466027
BL011,Metaldehyde,0.05,2.0,3.0,7282.5,27.0,0.0,185.0,0.6,2.0,-0.42391476066000805,-0.7578165818278588,-0.38486958220845086,-0.2770740422555203,-0.6483540939507205,-0.25361960302668696,-0.5561355365645534,-0.5602215357375329,-0.5032138564901447,-0.22686649483662094,-0.4230148380972906,-0.36895317462829597
BL011,Metaldehyde,0.05,2.0,4.0,14490.0,47.0,2.0,180.0,0.4,5.0,-0.4237540107605384,-0.7574158489510292,-0.38450958320762085,-0.2886333891511362,-0.6487324314125589,-0.25353579241495383,-0.5548058208504548,-0.5587423085857783,-0.5001732128294877,-0.24167018128599263,-0.4253751924435975,-0.3666866067733756
BL011,Metaldehyde,500.0,3.0,1.0,9802.5,63.0,1.0,185.0,-0.6,5.0,-0.4918014345436945,-0.7462529270822449,-0.4680061603262346,-0.3506096964765669,-0.625576665744992,-0.2876618332039088,-0.5164515783627541,-0.5044529178646108,-0.4978834568677321,-0.2384059492525344,-0.44512533197131127,-0.4150325079536052
BL011,Metaldehyde,500.0,3.0,2.0,11685.0,95.0,0.0,170.0,-0.2,2.0,-0.49175408172155716,-0.7456426807542796,-0.4682243960034831,-0.3857270990484668,-0.6246452812292963,-0.2877486579511642,-0.5161324489698322,-0.5024628796637925,-0.49995365835158967,-0.28624660796541757,-0.44293074950920003,-0.4184582033075728
BL011,Metaldehyde,500.0,3.0,3.0,11965.0,95.0,0.0,180.0,-0.2,1.0,-0.4917470385395128,-0.7456426807542796,-0.4682243960034831,-0.3623154973338669,-0.6246452812292963,-0.28777759953358273,-0.516084982180978,-0.5024628796637925,-0.49995365835158967,-0.25435283549016213,-0.44293074950920003,-0.41960010175889534
BL011,Metaldehyde,500.0,3.0,4.0,16732.5,130.0,0.0,180.0,-0.2,3.0,-0.4916271157880972,-0.7449752238330676,-0.4682243960034831,-0.3623154973338669,-0.6246452812292963,-0.28771971636874577,-0.5152767753386114,-0.5002862753816475,-0.49995365835158967,-0.25435283549016213,-0.44293074950920003,-0.41731630485625026
BL011,Metaldehyde,50.0,3.0,1.0,8817.5,65.0,0.0,175.0,0.2,1.0,-0.49182621145195765,-0.746214786686747,-0.4682243960034831,-0.37402129819116686,-0.6237138967136006,-0.28777759953358273,-0.5166185597449735,-0.5043285404770597,-0.49995365835158967,-0.2702997217277898,-0.44073616704708873,-0.41960010175889534
BL011,Metaldehyde,50.0,3.0,2.0,11087.5,84.0,0.0,170.0,0.0,13.0,-0.49176911136895535,-0.7458524529295176,-0.4682243960034831,-0.3857270990484668,-0.6241795889714484,-0.2874303005445611,-0.5162337397067622,-0.5031469552953238,-0.49995365835158967,-0.28624660796541757,-0.4418334582781444,-0.40589732034302484
BL011,Metaldehyde,50.0,3.0,3.0,12070.0,86.0,1.0,175.0,0.0,1.0,-0.4917443973462462,-0.7458143125340199,-0.4680061603262346,-0.37402129819116686,-0.6241795889714484,-0.28777759953358273,-0.5160671821351576,-0.5030225779077726,-0.4978834568677321,-0.2702997217277898,-0.4418334582781444,-0.41960010175889534
BL011,Metaldehyde,50.0,3.0,4.0,17000.0,108.0,0.0,180.0,0.8,2.0,-0.4916203870338227,-0.7453947681835437,-0.4682243960034831,-0.3623154973338669,-0.6223168199400569,-0.2877486579511642,-0.5152314276028309,-0.50165442664471,-0.49995365835158967,-0.25435283549016213,-0.4374442933539219,-0.4184582033075728
