strain,chemical,concentration,experiment,replicate,peak_to_baseline_ratio,fold_change,max_derivative,min_derivative,signal_decay_rate,auc_early,auc_mid,auc_late
BL011,Boric Acid,50.0,2.0,1.0,2.5738255033557045,-0.7425110492715665,475.2,-311.8,-21.52167300380228,7758057.5,1346527.5,2934285.0
BL011,Boric Acid,50.0,2.0,2.0,2.6920792079207922,-0.8782178217821782,422.6,-323.2,-23.689733840304182,7777465.0,1122002.5,1865672.5
BL011,Boric Acid,50.0,2.0,3.0,3.037398761314912,-0.9183738288073686,469.0,-348.6,-28.52490421455939,9726477.5,2601235.0,3378442.5
BL011,Boric Acid,50.0,2.0,4.0,2.7177578972369565,-0.9227297917821233,446.6,-297.8,-25.459541984732823,8468675.0,1398560.0,1530127.5
BL011,Boric Acid,5.0,2.0,1.0,2.6349991614958914,-0.8993795069595841,381.4,-266.8,-23.072519083969464,7870175.0,1953505.0,3665415.0
BL011,Boric Acid,5.0,2.0,2.0,2.6141415798539906,-0.8749897465343286,459.4,-285.4,-22.988636363636363,7836065.0,1275655.0,2077157.5
BL011,Boric Acid,5.0,2.0,3.0,2.5733249051833123,-0.8825853350189633,471.6,-340.8,-22.605090909090908,7889615.0,1154502.5,2001127.5
BL011,Boric Acid,5.0,2.0,4.0,2.775776097796365,-0.8804085571819206,429.8,-302.4,-24.926037735849057,8157930.0,1281377.5,2152010.0
BL011,Boric Acid,0.5,2.0,1.0,2.6734864300626304,-0.9188308977035491,410.4,-280.2,-23.787739463601532,7844867.5,1929682.5,3542142.5
BL011,Boric Acid,0.5,2.0,2.0,2.650135035600295,-0.9072755544643588,463.8,-270.0,-23.945593869731802,8036770.0,2021232.5,3773017.5
BL011,Boric Acid,0.5,2.0,3.0,2.8649583259443165,-0.8730271324702962,373.8,-376.0,-23.48212927756654,7398082.5,1112525.0,2002492.5
BL011,Boric Acid,0.5,2.0,4.0,2.757813778432335,-0.8758795614465718,410.2,-288.4,-24.57175572519084,8161160.0,1379710.0,2267257.5
BL011,Boric Acid,0.05,2.0,1.0,2.649395648670427,-0.9099919419822724,407.6,-324.6,-24.338697318007664,8155020.0,1940070.0,3633137.5
BL011,Boric Acid,0.05,2.0,2.0,2.7000934023944976,-0.8949647618238941,351.0,-237.6,-23.419157088122606,7716950.0,1956185.0,3885625.0
